padnumber,xposition,yposition
394,0.28,-3.98
395,0.81,-3.98
396,1.35,-3.98
397,1.88,-3.98
398,2.42,-3.98
399,2.95,-3.98
400,3.49,-3.98
401,4.02,-3.98
402,-3.74,-4.45
403,-3.2,-4.45
404,-2.67,-4.45
405,-2.13,-4.45
406,-1.6,-4.45
407,-1.06,-4.45
408,-0.53,-4.45
409,0.01,-4.45
410,0.54,-4.45
411,1.08,-4.45
412,1.08,-4.45
413,1.61,-4.45
414,2.15,-4.45
415,2.68,-4.45
416,3.22,-4.45
417,3.75,-4.45
418,-3.47,-4.93
419,-2.94,-4.93
420,-2.4,-4.93
421,-1.87,-4.93
422,-1.33,-4.93
423,-0.8,-4.93
424,-0.26,-4.93
425,0.28,-4.93
426,0.81,-4.93
427,1.35,-4.93
428,1.88,-4.93
429,2.42,-4.93
430,2.95,-4.93
431,3.49,-4.93
432,-3.2,-5.40
433,-2.67,-5.40
434,-2.13,-5.40
435,-1.6,-5.40
436,-1.06,-5.40
437,-0.53,-5.40
438,0.01,-5.40
439,0.54,-5.40
440,1.08,-5.40
441,1.61,-5.40
442,2.15,-5.40
443,2.68,-5.40
444,3.22,-5.40
-1,-3.5,5.6
-2,3.25,5.6
-3,6.21,0.35
-4,-6.45,0.35
-5,2.90,-5.69
-6,-3.0,-5.69
